size, timestamp
1, 1550693412.955050
2, 1550693413.035490
4, 1550693413.035520
8, 1550693413.035529
16, 1550693413.035538
32, 1550693413.035546
64, 1550693413.035554
128, 1550693413.035562
256, 1550693413.035570
512, 1550693413.035580
1024, 1550693413.035589
2048, 1550693413.035600
4096, 1550693413.035607
8192, 1550693413.035619
16384, 1550693413.035640
32768, 1550693413.035671
65536, 1550693413.035730
131072, 1550693413.136068
262144, 1550693413.236766
524288, 1550693413.324250
1048576, 1550693413.437949
